trial	block	wav_file	wav_file2	freq1	freq2	distance	abs_dist	RT	same_diff	accuracy
1	1	494.0-0.wav	516.5-1.wav	494	516.5	75	75	324	0	0
2	1	364.75-1.wav	349.0-0.wav	364.75	349	75	75	309	0	0
3	1	453.0-2.wav	466.0-0.wav	453	466	50	-50	301	0	0
4	1	440.0-0.wav	440.0-0.wav	440	440	0	0	293	0	1
5	1	524.0-0.wav	524.0-0.wav	524	524	0	0	303	0	1
6	1	459.5-1.wav	466.0-0.wav	459.5	466	25	-25	343	0	0
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
