trial	block	wav_file	wav_file2	freq1	freq2	distance	abs_dist	RT	same_diff	accuracy
1	1	494.0-0.wav	509.0-2.wav	494	509	50	50	431	2	1
2	1	294.0-0.wav	302.5-2.wav	294	302.5	50	50	529	2	1
3	1	311.0-0.wav	294.0-0.wav	311	294	100	-100	568	1	1
4	1	311.0-0.wav	298.25-3.wav	311	298.25	75	-75	470	1	1
5	1	392.0-0.wav	392.0-0.wav	392	392	0	0	584	0	1
6	1	392.0-0.wav	392.0-0.wav	392	392	0	0	471	0	1
7	1	415.0-0.wav	415.0-0.wav	415	415	0	0	585	0	1
8	1	370.0-0.wav	359.5-2.wav	370	359.5	50	-50	566	1	1
9	1	392.0-0.wav	403.5-2.wav	392	403.5	50	50	412	2	1
10	1	524.0-0.wav	531.5-3.wav	524	531.5	25	25	401	2	1
11	1	344.25-1.wav	349.0-0.wav	344.25	349	25	-25	582	2	1
12	1	446.5-3.wav	440.0-0.wav	446.5	440	25	25	426	1	1
13	1	229.75-1.wav	220.0-0.wav	229.75	220	75	75	510	1	1
14	1	370.0-0.wav	370.0-0.wav	370	370	0	0	720	2	0
15	1	440.0-0.wav	440.0-0.wav	440	440	0	0	594	1	0
16	1	466.0-0.wav	466.0-0.wav	466	466	0	0	352	0	1
17	1	415.0-0.wav	415.0-0.wav	415	415	0	0	768	0	1
18	1	494.0-0.wav	494.0-0.wav	494	494	0	0	703	2	0
19	1	466.0-0.wav	466.0-0.wav	466	466	0	0	625	0	1
20	1	330.0-0.wav	339.5-2.wav	330	339.5	50	50	452	2	1
21	1	375.5-3.wav	370.0-0.wav	375.5	370	25	25	823	1	1
22	1	466.0-0.wav	487.0-1.wav	466	487	75	75	451	2	1
23	1	273.25-1.wav	262.0-0.wav	273.25	262	75	75	398	1	1
24	1	554.0-0.wav	570.5-2.wav	554	570.5	50	50	370	2	1
25	1	306.75-1.wav	294.0-0.wav	306.75	294	75	75	320	1	1
26	1	381.0-2.wav	370.0-0.wav	381	370	50	50	361	1	1
27	1	453.0-2.wav	466.0-0.wav	453	466	50	-50	320	2	1
28	1	494.0-0.wav	494.0-0.wav	494	494	0	0	329	0	1
29	1	330.0-0.wav	330.0-0.wav	330	330	0	0	1866	1	0
30	1	494.0-0.wav	473.0-3.wav	494	473	75	-75	405	1	1
31	1	415.0-0.wav	415.0-0.wav	415	415	0	0	1243	2	0
32	1	554.0-0.wav	524.0-0.wav	554	524	100	-100	584	1	1
33	1	294.0-0.wav	294.0-0.wav	294	294	0	0	542	0	1
34	1	277.0-0.wav	289.75-1.wav	277	289.75	75	75	596	2	1
35	1	247.0-0.wav	247.0-0.wav	247	247	0	0	410	0	1
36	1	247.0-0.wav	233.0-0.wav	247	233	100	-100	487	1	1
37	1	554.0-0.wav	578.75-1.wav	554	578.75	75	75	616	2	1
38	1	254.5-2.wav	247.0-0.wav	254.5	247	50	50	469	1	1
39	1	339.5-2.wav	349.0-0.wav	339.5	349	50	-50	408	2	1
