trial	block	wav_file	wav_file2	freq1	freq2	distance	abs_dist	RT	same_diff	accuracy
40	1	381.0-2.wav	392.0-0.wav	381	392	50	-50	422	2	1
41	1	446.5-3.wav	466.0-0.wav	446.5	466	75	-75	346	2	1
42	1	370.0-0.wav	370.0-0.wav	370	370	0	0	514	0	1
43	1	277.0-0.wav	273.25-1.wav	277	273.25	25	-25	684	1	1
44	1	262.0-0.wav	262.0-0.wav	262	262	0	0	470	0	1
45	1	254.5-2.wav	262.0-0.wav	254.5	262	50	-50	522	2	1
46	1	494.0-0.wav	494.0-0.wav	494	494	0	0	547	0	1
47	1	285.5-2.wav	294.0-0.wav	285.5	294	50	-50	410	2	1
48	1	392.0-0.wav	370.0-0.wav	392	370	100	-100	449	1	1
49	1	487.0-1.wav	494.0-0.wav	487	494	25	-25	549	2	1
50	1	277.0-0.wav	277.0-0.wav	277	277	0	0	517	0	1
51	1	233.0-0.wav	229.75-1.wav	233	229.75	25	-25	758	1	1
52	1	392.0-0.wav	409.25-1.wav	392	409.25	75	75	629	2	1
53	1	330.0-0.wav	349.0-0.wav	330	349	100	-100	354	2	1
54	1	349.0-0.wav	334.75-3.wav	349	334.75	75	-75	409	1	1
55	1	233.0-0.wav	226.5-2.wav	233	226.5	50	-50	453	1	1
56	1	233.0-0.wav	233.0-0.wav	233	233	0	0	385	0	1
57	1	265.75-3.wav	277.0-0.wav	265.75	277	75	-75	496	2	1
58	1	330.0-0.wav	344.25-1.wav	330	344.25	75	75	978	2	1
59	1	315.75-3.wav	311.0-0.wav	315.75	311	25	25	648	1	1
60	1	247.0-0.wav	250.75-3.wav	247	250.75	25	25	563	2	1
61	1	250.75-3.wav	247.0-0.wav	250.75	247	25	25	427	0	0
62	1	311.0-0.wav	311.0-0.wav	311	311	0	0	616	1	0
63	1	453.0-2.wav	440.0-0.wav	453	440	50	50	582	1	1
64	1	349.0-0.wav	349.0-0.wav	349	349	0	0	684	0	1
65	1	494.0-0.wav	487.0-1.wav	494	487	25	-25	591	1	1
66	1	554.0-0.wav	539.0-2.wav	554	539	50	-50	388	1	1
67	1	440.0-0.wav	421.25-3.wav	440	421.25	75	-75	425	1	1
68	1	421.25-3.wav	415.0-0.wav	421.25	415	25	25	1958	1	1
69	1	415.0-0.wav	397.75-3.wav	415	397.75	75	-75	508	1	1
70	1	294.0-0.wav	289.75-1.wav	294	289.75	25	-25	510	1	1
71	1	531.5-3.wav	524.0-0.wav	531.5	524	25	25	591	1	1
72	1	349.0-0.wav	349.0-0.wav	349	349	0	0	990	0	1
73	1	494.0-0.wav	466.0-0.wav	494	466	100	-100	532	1	1
74	1	524.0-0.wav	524.0-0.wav	524	524	0	0	508	0	1
75	1	294.0-0.wav	294.0-0.wav	294	294	0	0	943	1	0
76	1	258.25-1.wav	262.0-0.wav	258.25	262	25	-25	701	2	1
77	1	269.5-2.wav	262.0-0.wav	269.5	262	50	50	510	0	0
78	1	211.0-3.wav	220.0-0.wav	211	220	75	-75	639	1	1
79	1	330.0-0.wav	311.0-0.wav	330	311	100	-100	939	1	1
80	1	370.0-0.wav	370.0-0.wav	370	370	0	0	731	0	1
81	1	306.75-1.wav	311.0-0.wav	306.75	311	25	-25	604	2	1
82	1	554.0-0.wav	554.0-0.wav	554	554	0	0	1138	2	0
83	1	325.25-1.wav	311.0-0.wav	325.25	311	75	75	586	1	1
84	1	236.5-3.wav	233.0-0.wav	236.5	233	25	25	765	1	1
85	1	359.5-2.wav	370.0-0.wav	359.5	370	50	-50	1365	2	1
86	1	349.0-0.wav	370.0-0.wav	349	370	100	-100	500	2	1
87	1	440.0-0.wav	427.5-2.wav	440	427.5	50	-50	468	1	1
88	1	247.0-0.wav	254.5-2.wav	247	254.5	50	50	776	2	1
89	1	247.0-0.wav	262.0-0.wav	247	262	100	-100	462	2	1
90	1	208.0-4.wav	220.0-0.wav	208	220	100	-100	746	2	1
91	1	415.0-0.wav	427.5-2.wav	415	427.5	50	50	458	2	1
92	1	531.5-3.wav	554.0-0.wav	531.5	554	75	-75	597	2	1
93	1	325.25-1.wav	330.0-0.wav	325.25	330	25	-25	771	2	1
94	1	220.0-0.wav	214.0-2.wav	220	214	50	-50	457	1	1
95	1	311.0-0.wav	311.0-0.wav	311	311	0	0	581	0	1
96	1	415.0-0.wav	421.25-3.wav	415	421.25	25	25	796	2	1
97	1	269.5-2.wav	277.0-0.wav	269.5	277	50	-50	498	2	1
98	1	240.0-2.wav	247.0-0.wav	240	247	50	-50	755	2	1
99	1	509.0-2.wav	494.0-0.wav	509	494	50	50	482	1	1
100	1	233.0-0.wav	236.5-3.wav	233	236.5	25	25	533	2	1
101	1	262.0-0.wav	277.0-0.wav	262	277	100	-100	502	2	1
102	1	546.5-1.wav	524.0-0.wav	546.5	524	75	75	464	1	1
103	1	370.0-0.wav	354.25-3.wav	370	354.25	75	-75	611	1	1
104	1	392.0-0.wav	392.0-0.wav	392	392	0	0	457	0	1
105	1	524.0-0.wav	524.0-0.wav	524	524	0	0	493	0	1
106	1	294.0-0.wav	285.5-2.wav	294	285.5	50	-50	487	1	1
107	1	233.0-0.wav	233.0-0.wav	233	233	0	0	817	0	1
108	1	415.0-0.wav	392.0-0.wav	415	392	100	-100	495	1	1
109	1	392.0-0.wav	397.75-3.wav	392	397.75	25	25	1321	2	1
110	1	415.0-0.wav	433.75-1.wav	415	433.75	75	75	409	2	1
111	1	311.0-0.wav	311.0-0.wav	311	311	0	0	1318	1	0
112	1	375.5-3.wav	392.0-0.wav	375.5	392	75	-75	415	2	1
113	1	233.0-0.wav	220.0-0.wav	233	220	100	-100	405	1	1
114	1	315.75-3.wav	330.0-0.wav	315.75	330	75	-75	466	2	1
115	1	392.0-0.wav	392.0-0.wav	392	392	0	0	1029	1	0
116	1	524.0-0.wav	524.0-0.wav	524	524	0	0	802	0	1
117	1	570.5-2.wav	554.0-0.wav	570.5	554	50	50	416	1	1
118	1	494.0-0.wav	524.0-0.wav	494	524	100	-100	438	2	1
119	1	277.0-0.wav	277.0-0.wav	277	277	0	0	1650	1	0
120	1	294.0-0.wav	306.75-1.wav	294	306.75	75	75	382	2	1
121	1	459.5-1.wav	466.0-0.wav	459.5	466	25	-25	628	0	0
122	1	397.75-3.wav	392.0-0.wav	397.75	392	25	25	480	0	0
123	1	247.0-0.wav	240.0-2.wav	247	240	50	-50	475	1	1
124	1	554.0-0.wav	531.5-3.wav	554	531.5	75	-75	326	1	1
125	1	311.0-0.wav	302.5-2.wav	311	302.5	50	-50	654	1	1
126	1	226.5-2.wav	233.0-0.wav	226.5	233	50	-50	762	2	1
127	1	349.0-0.wav	364.75-1.wav	349	364.75	75	75	1697	2	1
128	1	220.0-0.wav	220.0-0.wav	220	220	0	0	867	1	0
129	1	277.0-0.wav	294.0-0.wav	277	294	100	-100	391	2	1
130	1	294.0-0.wav	294.0-0.wav	294	294	0	0	373	0	1
131	1	262.0-0.wav	265.75-3.wav	262	265.75	25	25	868	2	1
132	1	554.0-0.wav	554.0-0.wav	554	554	0	0	551	0	1
133	1	233.0-0.wav	233.0-0.wav	233	233	0	0	1335	0	1
134	1	427.5-2.wav	415.0-0.wav	427.5	415	50	50	632	1	1
135	1	494.0-0.wav	516.5-1.wav	494	516.5	75	75	660	2	1
136	1	298.25-3.wav	311.0-0.wav	298.25	311	75	-75	1103	2	1
137	1	220.0-0.wav	220.0-0.wav	220	220	0	0	1257	1	0
138	1	516.5-1.wav	494.0-0.wav	516.5	494	75	75	349	1	1
139	1	409.25-1.wav	415.0-0.wav	409.25	415	25	-25	677	2	1
140	1	433.75-1.wav	415.0-0.wav	433.75	415	75	75	488	1	1
141	1	223.25-3.wav	233.0-0.wav	223.25	233	75	-75	881	2	1
142	1	214.0-2.wav	220.0-0.wav	214	220	50	-50	716	0	0
143	1	250.75-3.wav	262.0-0.wav	250.75	262	75	-75	414	2	1
144	1	262.0-0.wav	262.0-0.wav	262	262	0	0	324	0	1
145	1	220.0-0.wav	211.0-3.wav	220	211	75	-75	757	1	1
146	1	370.0-0.wav	364.75-1.wav	370	364.75	25	-25	1180	1	1
147	1	277.0-0.wav	269.5-2.wav	277	269.5	50	-50	539	1	1
148	1	440.0-0.wav	446.5-3.wav	440	446.5	25	25	739	2	1
149	1	386.5-1.wav	392.0-0.wav	386.5	392	25	-25	954	2	1
150	1	349.0-0.wav	349.0-0.wav	349	349	0	0	514	0	1
151	1	220.0-0.wav	208.0-4.wav	220	208	100	-100	500	1	1
152	1	370.0-0.wav	381.0-2.wav	370	381	50	50	638	2	1
153	1	433.75-1.wav	440.0-0.wav	433.75	440	25	-25	678	2	1
154	1	349.0-0.wav	349.0-0.wav	349	349	0	0	633	0	1
155	1	262.0-0.wav	262.0-0.wav	262	262	0	0	446	0	1
156	1	226.5-2.wav	220.0-0.wav	226.5	220	50	50	674	1	1
157	1	302.5-2.wav	294.0-0.wav	302.5	294	50	50	413	1	1
158	1	220.0-0.wav	217.0-1.wav	220	217	25	-25	625	1	1
159	1	294.0-0.wav	294.0-0.wav	294	294	0	0	911	0	1
160	1	466.0-0.wav	453.0-2.wav	466	453	50	-50	928	1	1
161	1	546.5-1.wav	554.0-0.wav	546.5	554	25	-25	425	2	1
162	1	311.0-0.wav	320.5-2.wav	311	320.5	50	50	421	2	1
163	1	516.5-1.wav	524.0-0.wav	516.5	524	25	-25	985	2	1
164	1	524.0-0.wav	516.5-1.wav	524	516.5	25	-25	816	1	1
165	1	494.0-0.wav	480.0-2.wav	494	480	50	-50	693	1	1
166	1	247.0-0.wav	243.5-1.wav	247	243.5	25	-25	637	1	1
167	1	473.0-3.wav	494.0-0.wav	473	494	75	-75	458	2	1
168	1	330.0-0.wav	330.0-0.wav	330	330	0	0	830	0	1
169	1	480.0-2.wav	494.0-0.wav	480	494	50	-50	434	2	1
170	1	403.5-2.wav	392.0-0.wav	403.5	392	50	50	439	1	1
171	1	220.0-0.wav	220.0-0.wav	220	220	0	0	740	1	0
172	1	247.0-0.wav	247.0-0.wav	247	247	0	0	460	0	1
173	1	229.75-1.wav	233.0-0.wav	229.75	233	25	-25	1512	0	0
174	1	233.0-0.wav	243.5-1.wav	233	243.5	75	75	473	2	1
175	1	440.0-0.wav	466.0-0.wav	440	466	100	-100	428	2	1
176	1	262.0-0.wav	273.25-1.wav	262	273.25	75	75	432	2	1
177	1	487.0-1.wav	466.0-0.wav	487	466	75	75	365	1	1
178	1	294.0-0.wav	311.0-0.wav	294	311	100	-100	580	2	1
179	1	311.0-0.wav	311.0-0.wav	311	311	0	0	483	0	1
180	1	344.25-1.wav	330.0-0.wav	344.25	330	75	75	822	1	1
181	1	311.0-0.wav	306.75-1.wav	311	306.75	25	-25	795	0	0
182	1	466.0-0.wav	446.5-3.wav	466	446.5	75	-75	433	1	1
183	1	277.0-0.wav	277.0-0.wav	277	277	0	0	558	1	0
184	1	370.0-0.wav	349.0-0.wav	370	349	100	-100	405	1	1
185	1	217.0-1.wav	220.0-0.wav	217	220	25	-25	794	2	1
186	1	524.0-0.wav	524.0-0.wav	524	524	0	0	465	0	1
187	1	349.0-0.wav	359.5-2.wav	349	359.5	50	50	884	2	1
188	1	330.0-0.wav	330.0-0.wav	330	330	0	0	1039	0	1
189	1	281.25-3.wav	277.0-0.wav	281.25	277	25	25	2313	1	1
190	1	409.25-1.wav	392.0-0.wav	409.25	392	75	75	587	1	1
191	1	330.0-0.wav	320.5-2.wav	330	320.5	50	-50	489	1	1
192	1	298.25-3.wav	294.0-0.wav	298.25	294	25	25	467	0	0
193	1	236.5-3.wav	247.0-0.wav	236.5	247	75	-75	887	2	1
194	1	262.0-0.wav	269.5-2.wav	262	269.5	50	50	481	2	1
195	1	289.75-1.wav	294.0-0.wav	289.75	294	25	-25	1003	2	1
196	1	277.0-0.wav	281.25-3.wav	277	281.25	25	25	562	2	1
197	1	247.0-0.wav	258.25-1.wav	247	258.25	75	75	593	2	1
198	1	354.25-3.wav	370.0-0.wav	354.25	370	75	-75	615	2	1
199	1	320.5-2.wav	311.0-0.wav	320.5	311	50	50	1388	1	1
200	1	466.0-0.wav	466.0-0.wav	466	466	0	0	2275	0	1
201	1	415.0-0.wav	409.25-1.wav	415	409.25	25	-25	750	1	1
202	1	386.5-1.wav	370.0-0.wav	386.5	370	75	75	878	1	1
203	1	220.0-0.wav	229.75-1.wav	220	229.75	75	75	2080	2	1
204	1	392.0-0.wav	386.5-1.wav	392	386.5	25	-25	587	1	1
205	1	334.75-3.wav	349.0-0.wav	334.75	349	75	-75	417	2	1
206	1	330.0-0.wav	330.0-0.wav	330	330	0	0	614	0	1
207	1	539.0-2.wav	524.0-0.wav	539	524	50	50	748	1	1
208	1	243.5-1.wav	247.0-0.wav	243.5	247	25	-25	620	2	1
209	1	494.0-0.wav	501.5-3.wav	494	501.5	25	25	480	2	1
210	1	277.0-0.wav	262.0-0.wav	277	262	100	-100	403	1	1
211	1	233.0-0.wav	247.0-0.wav	233	247	100	-100	417	2	1
212	1	243.5-1.wav	233.0-0.wav	243.5	233	75	75	438	1	1
213	1	349.0-0.wav	339.5-2.wav	349	339.5	50	-50	386	1	1
214	1	262.0-0.wav	258.25-1.wav	262	258.25	25	-25	633	0	0
215	1	277.0-0.wav	285.5-2.wav	277	285.5	50	50	1357	2	1
216	1	370.0-0.wav	370.0-0.wav	370	370	0	0	1405	0	1
217	1	440.0-0.wav	415.0-0.wav	440	415	100	-100	530	1	1
218	1	370.0-0.wav	375.5-3.wav	370	375.5	25	25	491	2	1
219	1	262.0-0.wav	247.0-0.wav	262	247	100	-100	373	1	1
220	1	440.0-0.wav	433.75-1.wav	440	433.75	25	-25	364	1	1
221	1	349.0-0.wav	354.25-3.wav	349	354.25	25	25	979	2	1
222	1	415.0-0.wav	415.0-0.wav	415	415	0	0	658	1	0
223	1	578.75-1.wav	554.0-0.wav	578.75	554	75	75	510	1	1
224	1	440.0-0.wav	453.0-2.wav	440	453	50	50	431	2	1
225	1	262.0-0.wav	262.0-0.wav	262	262	0	0	1236	0	1
226	1	311.0-0.wav	315.75-3.wav	311	315.75	25	25	672	2	1
227	1	281.25-3.wav	294.0-0.wav	281.25	294	75	-75	1778	2	1
228	1	466.0-0.wav	473.0-3.wav	466	473	25	25	801	2	1
229	1	294.0-0.wav	281.25-3.wav	294	281.25	75	-75	407	1	1
230	1	220.0-0.wav	226.5-2.wav	220	226.5	50	50	580	2	1
231	1	415.0-0.wav	403.5-2.wav	415	403.5	50	-50	579	1	1
232	1	524.0-0.wav	494.0-0.wav	524	494	100	-100	586	1	1
233	1	220.0-0.wav	220.0-0.wav	220	220	0	0	880	1	0
234	1	562.25-3.wav	554.0-0.wav	562.25	554	25	25	410	0	0
235	1	262.0-0.wav	250.75-3.wav	262	250.75	75	-75	487	1	1
236	1	494.0-0.wav	494.0-0.wav	494	494	0	0	418	0	1
237	1	466.0-0.wav	480.0-2.wav	466	480	50	50	551	2	1
238	1	334.75-3.wav	330.0-0.wav	334.75	330	25	25	415	1	1
239	1	240.0-2.wav	233.0-0.wav	240	233	50	50	380	1	1
240	1	262.0-0.wav	254.5-2.wav	262	254.5	50	-50	515	1	1
241	1	427.5-2.wav	440.0-0.wav	427.5	440	50	-50	372	2	1
242	1	473.0-3.wav	466.0-0.wav	473	466	25	25	771	1	1
243	1	330.0-0.wav	334.75-3.wav	330	334.75	25	25	2723	2	1
244	1	392.0-0.wav	375.5-3.wav	392	375.5	75	-75	627	1	1
245	1	339.5-2.wav	330.0-0.wav	339.5	330	50	50	1984	1	1
246	1	302.5-2.wav	311.0-0.wav	302.5	311	50	-50	479	2	1
247	1	311.0-0.wav	330.0-0.wav	311	330	100	-100	506	2	1
248	1	509.0-2.wav	524.0-0.wav	509	524	50	-50	452	2	1
249	1	501.5-3.wav	494.0-0.wav	501.5	494	25	25	351	0	0
250	1	285.5-2.wav	277.0-0.wav	285.5	277	50	50	351	1	1
251	1	294.0-0.wav	277.0-0.wav	294	277	100	-100	295	1	1
252	1	273.25-1.wav	277.0-0.wav	273.25	277	25	-25	673	2	1
253	1	392.0-0.wav	415.0-0.wav	392	415	100	-100	316	2	1
254	1	466.0-0.wav	440.0-0.wav	466	440	100	-100	285	1	1
255	1	277.0-0.wav	265.75-3.wav	277	265.75	75	-75	312	1	1
256	1	220.0-0.wav	223.25-3.wav	220	223.25	25	25	473	2	1
257	1	364.75-1.wav	370.0-0.wav	364.75	370	25	-25	812	2	1
258	1	440.0-0.wav	440.0-0.wav	440	440	0	0	3194	1	0
259	1	554.0-0.wav	554.0-0.wav	554	554	0	0	488	0	1
260	1	223.25-3.wav	220.0-0.wav	223.25	220	25	25	370	1	1
261	1	247.0-0.wav	236.5-3.wav	247	236.5	75	-75	265	1	1
262	1	258.25-1.wav	247.0-0.wav	258.25	247	75	75	301	1	1
263	1	330.0-0.wav	315.75-3.wav	330	315.75	75	-75	231	1	1
264	1	440.0-0.wav	440.0-0.wav	440	440	0	0	443	0	1
265	1	311.0-0.wav	325.25-1.wav	311	325.25	75	75	391	2	1
266	1	524.0-0.wav	546.5-1.wav	524	546.5	75	75	285	2	1
267	1	364.75-1.wav	349.0-0.wav	364.75	349	75	75	304	1	1
268	1	370.0-0.wav	392.0-0.wav	370	392	100	-100	682	2	1
269	1	320.5-2.wav	330.0-0.wav	320.5	330	50	-50	525	2	1
270	1	466.0-0.wav	466.0-0.wav	466	466	0	0	549	0	1
271	1	415.0-0.wav	440.0-0.wav	415	440	100	-100	901	2	1
272	1	359.5-2.wav	349.0-0.wav	359.5	349	50	50	719	1	1
273	1	440.0-0.wav	459.5-1.wav	440	459.5	75	75	665	2	1
274	1	354.25-3.wav	349.0-0.wav	354.25	349	25	25	1252	1	1
275	1	480.0-2.wav	466.0-0.wav	480	466	50	50	520	1	1
276	1	392.0-0.wav	381.0-2.wav	392	381	50	-50	441	1	1
277	1	289.75-1.wav	277.0-0.wav	289.75	277	75	75	262	1	1
278	1	247.0-0.wav	247.0-0.wav	247	247	0	0	481	0	1
279	1	459.5-1.wav	440.0-0.wav	459.5	440	75	75	860	1	1
280	1	349.0-0.wav	330.0-0.wav	349	330	100	-100	584	1	1
281	1	524.0-0.wav	501.5-3.wav	524	501.5	75	-75	366	1	1
282	1	233.0-0.wav	240.0-2.wav	233	240	50	50	622	2	1
283	1	554.0-0.wav	546.5-1.wav	554	546.5	25	-25	594	1	1
284	1	220.0-0.wav	233.0-0.wav	220	233	100	-100	488	2	1
285	1	370.0-0.wav	386.5-1.wav	370	386.5	75	75	442	2	1
286	1	466.0-0.wav	459.5-1.wav	466	459.5	25	-25	335	1	1
287	1	397.75-3.wav	415.0-0.wav	397.75	415	75	-75	432	2	1
288	1	265.75-3.wav	262.0-0.wav	265.75	262	25	25	492	1	1
289	1	524.0-0.wav	539.0-2.wav	524	539	50	50	886	2	1
290	1	554.0-0.wav	562.25-3.wav	554	562.25	25	25	721	2	1
291	1	277.0-0.wav	277.0-0.wav	277	277	0	0	762	0	1
292	1	501.5-3.wav	524.0-0.wav	501.5	524	75	-75	746	2	1
293	1	466.0-0.wav	494.0-0.wav	466	494	100	-100	386	2	1
294	1	403.5-2.wav	415.0-0.wav	403.5	415	50	-50	361	2	1
295	1	247.0-0.wav	247.0-0.wav	247	247	0	0	848	1	0
296	1	233.0-0.wav	223.25-3.wav	233	223.25	75	-75	388	1	1
297	1	421.25-3.wav	440.0-0.wav	421.25	440	75	-75	322	2	1
298	1	539.0-2.wav	554.0-0.wav	539	554	50	-50	395	2	1
299	1	440.0-0.wav	440.0-0.wav	440	440	0	0	1202	0	1
300	1	349.0-0.wav	344.25-1.wav	349	344.25	25	-25	847	1	1
301	1	524.0-0.wav	554.0-0.wav	524	554	100	-100	315	2	1
302	1	294.0-0.wav	298.25-3.wav	294	298.25	25	25	1117	0	0
303	1	330.0-0.wav	325.25-1.wav	330	325.25	25	-25	702	1	1
304	1	554.0-0.wav	554.0-0.wav	554	554	0	0	624	0	1
305	1	524.0-0.wav	509.0-2.wav	524	509	50	-50	517	1	1
306	1	233.0-0.wav	233.0-0.wav	233	233	0	0	1806	1	0
