trial	block	trial_type	wav_file	condition	key	freq	updown	circscale
1	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
2	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
3	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
4	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
5	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
6	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
7	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
8	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
9	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
10	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
11	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
12	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
13	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
14	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
15	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
16	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
17	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
18	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
19	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
20	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
21	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
22	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
23	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
24	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
25	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
26	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
27	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
28	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
29	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
30	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
31	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
32	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
33	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
34	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
35	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
36	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
37	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
38	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
39	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
40	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
41	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
42	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
43	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
44	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
45	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
46	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
47	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
48	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
49	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
50	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
51	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
52	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
53	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
54	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
55	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
56	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
57	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
58	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
59	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
60	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
61	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
62	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
63	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
64	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
65	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
66	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
67	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
68	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
69	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
70	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
71	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
72	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
73	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
74	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
75	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
76	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
77	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
78	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
79	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
80	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
81	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
82	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
83	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
84	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
85	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
86	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
87	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
88	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
89	1	downScaleDsharp	311D#Shep.wav	shepard	Dsharp	311	down	scale
90	1	downScaleDsharp	294D#Shep.wav	shepard	Dsharp	294	down	scale
91	1	downScaleDsharp	262D#Shep.wav	shepard	Dsharp	262	down	scale
92	1	downScaleDsharp	233D#Shep.wav	shepard	Dsharp	233	down	scale
93	1	downScaleDsharp	208D#Shep.wav	shepard	Dsharp	208	down	scale
94	1	downScaleDsharp	196D#Shep.wav	shepard	Dsharp	196	down	scale
95	1	downScaleDsharp	175D#Shep.wav	shepard	Dsharp	175	down	scale
