trial	block	trial_type	wav_file	condition	key	freq	updown	circscale
1	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
2	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
3	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
4	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
5	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
6	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
7	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
8	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
9	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
10	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
11	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
12	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
13	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
14	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
15	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
16	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
17	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
18	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
19	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
20	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
21	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
22	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
23	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
24	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
25	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
26	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
27	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
28	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
29	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
30	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
31	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
32	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
33	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
34	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
35	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
36	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
37	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
38	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
39	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
40	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
41	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
42	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
43	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
44	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
45	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
46	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
47	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
48	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
49	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
50	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
51	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
52	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
53	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
54	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
55	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
56	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
57	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
58	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
59	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
60	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
61	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
62	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
63	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
64	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
65	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
66	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
67	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
68	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
69	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
70	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
71	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
72	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
73	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
74	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
75	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
76	1	upScaleA	294AShep.wav	shepard	A	294	up	scale
77	1	upScaleA	330AShep.wav	shepard	A	330	up	scale
78	1	upScaleA	370AShep.wav	shepard	A	370	up	scale
79	1	upScaleA	415AShep.wav	shepard	A	415	up	scale
80	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
81	1	upScaleA	440AShep.wav	shepard	A	440	up	scale
82	1	upScaleA	247AShep.wav	shepard	A	247	up	scale
83	1	upScaleA	277AShep.wav	shepard	A	277	up	scale
