trial	block	trial_type	wav_file	condition	key	freq	updown	circscale
1	1	downScaleA	440APure.wav	pure	A	440	down	scale
2	1	downScaleA	415APure.wav	pure	A	415	down	scale
3	1	downScaleA	370APure.wav	pure	A	370	down	scale
4	1	downScaleA	330APure.wav	pure	A	330	down	scale
5	1	downScaleA	294APure.wav	pure	A	294	down	scale
6	1	downScaleA	277APure.wav	pure	A	277	down	scale
7	1	downScaleA	247APure.wav	pure	A	247	down	scale
8	1	downScaleA	220APure.wav	pure	A	220	down	scale
9	1	downScaleA	440APure.wav	pure	A	440	down	scale
10	1	downScaleA	415APure.wav	pure	A	415	down	scale
11	1	downScaleA	370APure.wav	pure	A	370	down	scale
12	1	downScaleA	330APure.wav	pure	A	330	down	scale
13	1	downScaleA	294APure.wav	pure	A	294	down	scale
14	1	downScaleA	277APure.wav	pure	A	277	down	scale
15	1	downScaleA	247APure.wav	pure	A	247	down	scale
16	1	downScaleA	220APure.wav	pure	A	220	down	scale
17	1	downScaleA	440APure.wav	pure	A	440	down	scale
18	1	downScaleA	415APure.wav	pure	A	415	down	scale
19	1	downScaleA	370APure.wav	pure	A	370	down	scale
20	1	downScaleA	330APure.wav	pure	A	330	down	scale
21	1	downScaleA	294APure.wav	pure	A	294	down	scale
22	1	downScaleA	277APure.wav	pure	A	277	down	scale
23	1	downScaleA	247APure.wav	pure	A	247	down	scale
24	1	downScaleA	220APure.wav	pure	A	220	down	scale
25	1	downScaleA	440APure.wav	pure	A	440	down	scale
26	1	downScaleA	415APure.wav	pure	A	415	down	scale
27	1	downScaleA	370APure.wav	pure	A	370	down	scale
28	1	downScaleA	330APure.wav	pure	A	330	down	scale
29	1	downScaleA	294APure.wav	pure	A	294	down	scale
30	1	downScaleA	277APure.wav	pure	A	277	down	scale
31	1	downScaleA	247APure.wav	pure	A	247	down	scale
32	1	downScaleA	220APure.wav	pure	A	220	down	scale
33	1	downScaleA	440APure.wav	pure	A	440	down	scale
34	1	downScaleA	415APure.wav	pure	A	415	down	scale
35	1	downScaleA	370APure.wav	pure	A	370	down	scale
36	1	downScaleA	330APure.wav	pure	A	330	down	scale
37	1	downScaleA	294APure.wav	pure	A	294	down	scale
38	1	downScaleA	277APure.wav	pure	A	277	down	scale
39	1	downScaleA	247APure.wav	pure	A	247	down	scale
40	1	downScaleA	220APure.wav	pure	A	220	down	scale
41	1	downScaleA	440APure.wav	pure	A	440	down	scale
42	1	downScaleA	415APure.wav	pure	A	415	down	scale
43	1	downScaleA	370APure.wav	pure	A	370	down	scale
44	1	downScaleA	330APure.wav	pure	A	330	down	scale
45	1	downScaleA	294APure.wav	pure	A	294	down	scale
46	1	downScaleA	277APure.wav	pure	A	277	down	scale
47	1	downScaleA	247APure.wav	pure	A	247	down	scale
48	1	downScaleA	220APure.wav	pure	A	220	down	scale
49	1	downScaleA	440APure.wav	pure	A	440	down	scale
50	1	downScaleA	415APure.wav	pure	A	415	down	scale
51	1	downScaleA	370APure.wav	pure	A	370	down	scale
52	1	downScaleA	330APure.wav	pure	A	330	down	scale
53	1	downScaleA	294APure.wav	pure	A	294	down	scale
54	1	downScaleA	277APure.wav	pure	A	277	down	scale
55	1	downScaleA	247APure.wav	pure	A	247	down	scale
56	1	downScaleA	220APure.wav	pure	A	220	down	scale
57	1	downScaleA	440APure.wav	pure	A	440	down	scale
58	1	downScaleA	415APure.wav	pure	A	415	down	scale
59	1	downScaleA	370APure.wav	pure	A	370	down	scale
60	1	downScaleA	330APure.wav	pure	A	330	down	scale
61	1	downScaleA	294APure.wav	pure	A	294	down	scale
62	1	downScaleA	277APure.wav	pure	A	277	down	scale
63	1	downScaleA	247APure.wav	pure	A	247	down	scale
64	1	downScaleA	220APure.wav	pure	A	220	down	scale
