wav_file1,wav_file2,freq1,freq2,abs_dist,dist_semi,direction
330.0-0.wav,344.25-1.wav,330.0,344.25,75,75,2
344.25-1.wav,330.0-0.wav,344.25,330.0,75,75,1
349.0-0.wav,349.0-0.wav,349.0,349.0,0,0,0
349.0-0.wav,349.0-0.wav,349.0,349.0,0,0,0
349.0-0.wav,330.0-0.wav,349.0,330.0,100,-100,1
330.0-0.wav,349.0-0.wav,330.0,349.0,100,-100,2
349.0-0.wav,334.75-3.wav,349.0,334.75,75,-75,1
334.75-3.wav,349.0-0.wav,334.75,349.0,75,-75,2
349.0-0.wav,339.5-2.wav,349.0,339.5,50,-50,1
339.5-2.wav,349.0-0.wav,339.5,349.0,50,-50,2
349.0-0.wav,344.25-1.wav,349.0,344.25,25,-25,1
344.25-1.wav,349.0-0.wav,344.25,349.0,25,-25,2
349.0-0.wav,349.0-0.wav,349.0,349.0,0,0,2
349.0-0.wav,349.0-0.wav,349.0,349.0,0,0,2
349.0-0.wav,354.25-3.wav,349.0,354.25,25,25,2
354.25-3.wav,349.0-0.wav,354.25,349.0,25,25,1
349.0-0.wav,359.5-2.wav,349.0,359.5,50,50,2
359.5-2.wav,349.0-0.wav,359.5,349.0,50,50,1
349.0-0.wav,364.75-1.wav,349.0,364.75,75,75,2
364.75-1.wav,349.0-0.wav,364.75,349.0,75,75,1
370.0-0.wav,370.0-0.wav,370.0,370.0,0,0,0
370.0-0.wav,370.0-0.wav,370.0,370.0,0,0,0
370.0-0.wav,349.0-0.wav,370.0,349.0,100,-100,1
349.0-0.wav,370.0-0.wav,349.0,370.0,100,-100,2
370.0-0.wav,354.25-3.wav,370.0,354.25,75,-75,1
354.25-3.wav,370.0-0.wav,354.25,370.0,75,-75,2
370.0-0.wav,359.5-2.wav,370.0,359.5,50,-50,1
359.5-2.wav,370.0-0.wav,359.5,370.0,50,-50,2
370.0-0.wav,364.75-1.wav,370.0,364.75,25,-25,1
364.75-1.wav,370.0-0.wav,364.75,370.0,25,-25,2
370.0-0.wav,370.0-0.wav,370.0,370.0,0,0,2
370.0-0.wav,370.0-0.wav,370.0,370.0,0,0,2
370.0-0.wav,375.5-3.wav,370.0,375.5,25,25,2
375.5-3.wav,370.0-0.wav,375.5,370.0,25,25,1
370.0-0.wav,381.0-2.wav,370.0,381.0,50,50,2
381.0-2.wav,370.0-0.wav,381.0,370.0,50,50,1
370.0-0.wav,386.5-1.wav,370.0,386.5,75,75,2
386.5-1.wav,370.0-0.wav,386.5,370.0,75,75,1
392.0-0.wav,392.0-0.wav,392.0,392.0,0,0,0
392.0-0.wav,392.0-0.wav,392.0,392.0,0,0,0
392.0-0.wav,370.0-0.wav,392.0,370.0,100,-100,1
370.0-0.wav,392.0-0.wav,370.0,392.0,100,-100,2
392.0-0.wav,375.5-3.wav,392.0,375.5,75,-75,1
375.5-3.wav,392.0-0.wav,375.5,392.0,75,-75,2
392.0-0.wav,381.0-2.wav,392.0,381.0,50,-50,1
381.0-2.wav,392.0-0.wav,381.0,392.0,50,-50,2
392.0-0.wav,386.5-1.wav,392.0,386.5,25,-25,1
386.5-1.wav,392.0-0.wav,386.5,392.0,25,-25,2
392.0-0.wav,392.0-0.wav,392.0,392.0,0,0,2
392.0-0.wav,392.0-0.wav,392.0,392.0,0,0,2
392.0-0.wav,397.75-3.wav,392.0,397.75,25,25,2
397.75-3.wav,392.0-0.wav,397.75,392.0,25,25,1
392.0-0.wav,403.5-2.wav,392.0,403.5,50,50,2
403.5-2.wav,392.0-0.wav,403.5,392.0,50,50,1
392.0-0.wav,409.25-1.wav,392.0,409.25,75,75,2
409.25-1.wav,392.0-0.wav,409.25,392.0,75,75,1
415.0-0.wav,415.0-0.wav,415.0,415.0,0,0,0
415.0-0.wav,415.0-0.wav,415.0,415.0,0,0,0
415.0-0.wav,392.0-0.wav,415.0,392.0,100,-100,1
392.0-0.wav,415.0-0.wav,392.0,415.0,100,-100,2
415.0-0.wav,397.75-3.wav,415.0,397.75,75,-75,1
397.75-3.wav,415.0-0.wav,397.75,415.0,75,-75,2
415.0-0.wav,403.5-2.wav,415.0,403.5,50,-50,1
403.5-2.wav,415.0-0.wav,403.5,415.0,50,-50,2
415.0-0.wav,409.25-1.wav,415.0,409.25,25,-25,1
409.25-1.wav,415.0-0.wav,409.25,415.0,25,-25,2
415.0-0.wav,415.0-0.wav,415.0,415.0,0,0,2
415.0-0.wav,415.0-0.wav,415.0,415.0,0,0,2
415.0-0.wav,421.25-3.wav,415.0,421.25,25,25,2
421.25-3.wav,415.0-0.wav,421.25,415.0,25,25,1
415.0-0.wav,427.5-2.wav,415.0,427.5,50,50,2
